Name,YMLs,Invalid YMLs,Functions,Plugins,Packages,Global Policy Version,Function Policy Version,YML LOC,Functions Defined Externally,Resources,YMLs with Global Policies,Number of Global Statements,Number of Global Roles,Functions with Policies,Number of Functions with Roles,Number of Function Statements,Allows Invoke,Global Invoke,AWS Lambda Project
/data/serverless-dataset/demo2099/jscool,1,0,0,0,0,None,None,81,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/bennybauer/serverless-python-sample,1,0,2,1,0,None,None,28,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/marconi1992/serverless-micro-frontends,2,0,3,5,0,None,None,231,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/suvo-oko/CloudNativeBootcamp,1,0,1,0,0,None,None,29,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/acantril/aws-sa-associate-saac02,0,0,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/rdlabo-team/serverless-nestjs,1,0,1,1,0,None,None,31,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/codeedu/maratonafc3-microsservico-pagamentos,1,0,2,0,0,Legacy,None,133,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/awskrug/handson-labs-2018,1,0,3,3,0,Legacy,None,198,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/awskrug/kendra-button,1,0,1,2,0,Legacy,None,30,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/serverless-graphql-relay,1,0,1,0,0,Legacy,None,52,0,0,1,1,0,0,0,0,True,True,True
/data/serverless-dataset/serverless/forms-service,1,0,6,1,0,Legacy,None,168,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/serverless-starter,1,0,3,0,0,None,None,28,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/examples,146,5,230,81,0,None,None,4852,0,0,30,36,0,1,0,2,False,False,True
/data/serverless-dataset/serverless/serverless-golang,1,0,1,0,0,None,None,101,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/safeguards-plugin,1,0,1,0,0,None,None,30,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/fdk-tmp,2,0,2,0,0,None,None,26,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/event-gateway-getting-started,1,0,3,1,0,Legacy,None,72,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/event-gateway-example,7,0,6,2,0,None,None,156,1,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/enterprise,1,0,1,0,0,None,None,27,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/post-scheduler,1,0,2,0,0,Legacy,None,74,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/event-gateway,3,0,6,3,0,None,None,98,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/fullstack-course,1,0,3,2,0,Legacy,None,167,0,0,1,1,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/serverless-azure-functions,18,0,19,20,0,None,None,587,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/serverless/serverless-graphql,8,1,7,16,0,None,None,604,0,0,0,0,0,1,1,0,False,False,True
/data/serverless-dataset/serverless/serverless-plugin-typescript,1,0,1,1,0,None,None,16,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/multicloud,2,0,2,4,0,None,None,119,0,0,0,0,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/serverless-kubeless,16,0,24,16,0,None,None,269,0,0,0,0,0,0,0,0,False,False,False
/data/serverless-dataset/serverless/serverless-websockets-plugin,1,0,5,1,0,Legacy,None,124,0,0,1,2,0,0,0,0,False,False,True
/data/serverless-dataset/serverless/typescript,1,0,0,1,0,None,None,7,0,0,0,0,0,0,0,0,False,False,True
