YML File,Prolog File,FNs Using Roles,FN Count,Private FN Count,Public FN Count,Resource Count,Public RW Resources,Public RO Resources,Public WO Resources,Private Resources,dynamodb Resources,rds Resources,secretsmanager Resources,route53 Resources,kinesis Resources,s3 Resources,apigateway Resources,sqs Resources,ssm Resources,sdb Resources,event Resources,kms Resources,sns Resources,Global IAM Stmts,Min Stmts Defined Per FN,Max Stmts Defined Per FN,Avg Stmts Defined Per FN,Full Wildcard Resources,Full Wildcard Permissions,Partial Wildcard Resources,Partial Wildcard Permissions,Permission Facts Generated,Min Facts Generated Per FN,Max Facts Generated Per FN,Avg Facts Generated Per FN,Event Triggers,S3 Triggers,IoT Triggers,Stream Msg Triggers,SNS Msg Triggers
/data/serverless-dataset/llSourcell/Build-a-Cybersecurity-Startup/event-collection/serverless.yml,/data/results/llSourcell-Build-a-Cybersecurity-Startup-375.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/efi-mk/serverless-django-demo/serverless.yml,/data/results/efi-mk-serverless-django-demo-377.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/aws-samples/designing-cloud-native-microservices-on-aws/sources/coffeeshop/orders-web/serverless.yml,/data/results/aws-samples-designing-cloud-native-microservices-on-aws-379.pl,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/Financial-Times/ig-images-backend/serverless.yml,/data/results/Financial-Times-ig-images-backend-383.pl,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/rokumatsumoto/aws-node-s3-zipper/serverless.yml,/data/results/rokumatsumoto-aws-node-s3-zipper-384.pl,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,2,1,1,1.0,0,0,0,0,0
/data/serverless-dataset/rocketseat-content/youtube-serverless-node-aws-lambda/serverless.yml,/data/results/rocketseat-content-youtube-serverless-node-aws-lambda-388.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0
/data/serverless-dataset/ErickWendel/wtf-are-sls-apps-200ok/05.sls-x-ray/serverless.yml,/data/results/ErickWendel-wtf-are-sls-apps-200ok-396.pl,0,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,1,0,12,4,4,4.0,6,6,0,0,0
/data/serverless-dataset/geovanisouza92/serverless-next/serverless.yml,/data/results/geovanisouza92-serverless-next-407.pl,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0
/data/serverless-dataset/anishkny/realworld-dynamodb-lambda/serverless.yml,/data/results/anishkny-realworld-dynamodb-lambda-410.pl,0,21,0,21,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,378,18,18,18.0,0,0,0,0,0
/data/serverless-dataset/getsocial-rnd/ecs-drain-lambda/serverless.yml,/data/results/getsocial-rnd-ecs-drain-lambda-411.pl,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
